id,file,status,source,detail,unknown,opcode_empty
00103,BlindMatchmakingDating__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindMatchmakingDating__dead_code_0000.json (deployed_bytecode),,0
00104,BlindPokerHand__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindPokerHand__rename_0000.json (deployed_bytecode),,0
00105,BlindPokerHand__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindPokerHand__expression_0000.json (deployed_bytecode),,0
00106,BlindPokerHand__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\BlindPokerHand__fhe_swap_0000.json (deployed_bytecode),,0
00107,BlindPokerHand__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindPokerHand__dead_code_0000.json (deployed_bytecode),,0
00108,BlindRockPaperScissors_b9_002__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindRockPaperScissors_b9_002__rename_0000.json (deployed_bytecode),,0
00109,BlindRockPaperScissors_b9_002__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindRockPaperScissors_b9_002__expression_0000.json (deployed_bytecode),,0
00110,BlindRockPaperScissors_b9_002__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\BlindRockPaperScissors_b9_002__fhe_swap_0000.json (deployed_bytecode),,0
00111,BlindRockPaperScissors_b9_002__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindRockPaperScissors_b9_002__dead_code_0000.json (deployed_bytecode),,0
00112,BlindSpeedDatingMatch__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindSpeedDatingMatch__rename_0000.json (deployed_bytecode),,0
00113,BlindSpeedDatingMatch__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\BlindSpeedDatingMatch__fhe_swap_0000.json (deployed_bytecode),,0
00114,BlindSpeedDatingMatch__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindSpeedDatingMatch__dead_code_0000.json (deployed_bytecode),,0
00115,BlindVickreyAuction_b11_005__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindVickreyAuction_b11_005__rename_0000.json (deployed_bytecode),,0
00116,BlindVickreyAuction_b11_005__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindVickreyAuction_b11_005__expression_0000.json (deployed_bytecode),,0
00117,BlindVickreyAuction_b11_005__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindVickreyAuction_b11_005__dead_code_0000.json (deployed_bytecode),,0
00118,BoardOfDirectorsElection__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BoardOfDirectorsElection__rename_0000.json (deployed_bytecode),,0
00119,BoardOfDirectorsElection__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BoardOfDirectorsElection__dead_code_0000.json (deployed_bytecode),,0
00120,CarbonCreditAuction__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\CarbonCreditAuction__rename_0000.json (deployed_bytecode),,0
